,Activity,Location,Start,End,ActualTimes,ChargeableStart,ChargeableEnd,ActualStart,ActualEnd
9,SEWN,11,2023-01-09 09:30:00,2023-01-09 15:30:00,...-...,09:30,15:30,,
10,Impulse Theatre,1,2023-01-09 18:30:00,2023-01-09 21:30:00,18:42-21:16,18:30,21:30,2023-01-09 18:42:57,2023-01-09 21:16:41
11,SEWN,11,2023-01-11 09:30:00,2023-01-11 15:30:00,...-...,09:30,15:30,,
12,Narcotics Anonymous,1,2023-01-11 18:45:00,2023-01-11 20:00:00,18:32-21:08,18:45,20:53,2023-01-11 18:32:40,2023-01-11 21:08:58
13,CRRRC -Foodbank,10a,2023-01-12 10:00:00,2023-01-12 12:00:00,...-...,10:00,12:00,,
14,SEWN,11,2023-01-13 09:30:00,2023-01-13 15:30:00,...-...,09:30,15:30,,
15,Te reo hui,5,2023-01-14 09:30:00,2023-01-14 15:30:00,...-18:59,09:30,18:44,,2023-01-14 18:59:26
16,Harvest Church,1,2023-01-15 09:00:00,2023-01-15 13:00:00,...-...,09:00,13:00,,
17,CICF,10,2023-01-15 10:00:00,2023-01-15 13:00:00,...-...,10:00,13:00,,
18,The Muse,5,2023-01-15 13:30:00,2023-01-15 16:00:00,11:04-...,11:19,16:00,2023-01-15 11:04:58,
19,Amhara Association,1,2023-01-15 14:00:00,2023-01-15 16:00:00,14:01-15:46,14:00,16:00,2023-01-15 14:01:52,2023-01-15 15:46:56
20,The Muse,5,2023-01-16 08:00:00,2023-01-16 17:00:00,...-...,08:00,17:00,,
21,Clever little bees ,1,2023-01-16 08:30:00,2023-01-16 15:00:00,...-...,08:30,15:00,,
22,The Muse,11,2023-01-16 08:30:00,2023-01-16 17:00:00,...-...,08:30,17:00,,
23,Better Breathing Exs.,5,2023-01-16 09:00:00,2023-01-16 12:00:00,...-...,09:00,12:00,,
24,SEWN,11,2023-01-16 09:30:00,2023-01-16 15:30:00,...-...,09:30,15:30,,
25,Canterbury Somali association ,10a,2023-01-16 10:00:00,2023-01-16 14:00:00,...-...,10:00,14:00,,
26,PCCCT -Craft,10a,2023-01-16 14:00:00,2023-01-16 16:15:00,...-...,14:00,16:15,,
27,Leadership Group Meeting,10,2023-01-16 16:30:00,2023-01-16 18:30:00,...-...,16:30,18:30,,
28,ICEcycles,7,2023-01-16 17:30:00,2023-01-16 20:30:00,...-...,17:30,20:30,,
29,Autistic Innovations ,5,2023-01-16 18:00:00,2023-01-16 20:00:00,...-...,18:00,20:00,,
30,Impulse Theatre,1,2023-01-16 18:30:00,2023-01-16 21:30:00,...-...,18:30,21:30,,
