,Activity,Location,Start,End,ActualTimes,ChargeableStart,ChargeableEnd,testStart,testEnd,ChargeableStartDateTime,ChargeableEndDateTime
20,The Muse,5,2023-01-16 08:00:00,2023-01-16 17:00:00,...-...,08:00,17:00,,,2023-01-16 08:00:00,2023-01-16 17:00:00
21,Clever little bees ,1,2023-01-16 08:30:00,2023-01-16 15:00:00,...-...,08:30,15:00,,,2023-01-16 08:30:00,2023-01-16 15:00:00
22,The Muse,11,2023-01-16 08:30:00,2023-01-16 17:00:00,...-...,08:30,17:00,,,2023-01-16 08:30:00,2023-01-16 17:00:00
23,Better Breathing Exs.,5,2023-01-16 09:00:00,2023-01-16 12:00:00,...-...,09:00,12:00,,,2023-01-16 09:00:00,2023-01-16 12:00:00
24,SEWN,11,2023-01-16 09:30:00,2023-01-16 15:30:00,...-...,09:30,15:30,,,2023-01-16 09:30:00,2023-01-16 15:30:00
25,Canterbury Somali association ,10a,2023-01-16 10:00:00,2023-01-16 14:00:00,...-...,10:00,14:00,,,2023-01-16 10:00:00,2023-01-16 14:00:00
26,PCCCT -Craft,10a,2023-01-16 14:00:00,2023-01-16 16:15:00,...-...,14:00,16:15,,,2023-01-16 14:00:00,2023-01-16 16:15:00
27,Leadership Group Meeting,10,2023-01-16 16:30:00,2023-01-16 18:30:00,...-...,16:30,18:30,,,2023-01-16 16:30:00,2023-01-16 18:30:00
28,ICEcycles,7,2023-01-16 17:30:00,2023-01-16 20:30:00,...-...,17:30,20:30,,,2023-01-16 17:30:00,2023-01-16 20:30:00
29,Autistic Innovations ,5,2023-01-16 18:00:00,2023-01-16 20:00:00,18:19-20:02,18:00,20:00,2023-01-16 18:19:01,2023-01-16 20:02:18,2023-01-16 18:00:00,2023-01-16 20:00:00
30,Impulse Theatre,1,2023-01-16 18:30:00,2023-01-16 21:30:00,18:49-21:17,18:30,21:30,2023-01-16 18:49:51,2023-01-16 21:17:08,2023-01-16 18:30:00,2023-01-16 21:30:00
31,The Muse,5,2023-01-17 08:00:00,2023-01-17 17:00:00,...-...,08:00,17:00,,,2023-01-17 08:00:00,2023-01-17 17:00:00
32,B4 School check,10a,2023-01-17 08:30:00,2023-01-17 15:30:00,...-...,08:30,15:30,,,2023-01-17 08:30:00,2023-01-17 15:30:00
33,The Muse,11,2023-01-17 08:30:00,2023-01-17 17:00:00,...-...,08:30,17:00,,,2023-01-17 08:30:00,2023-01-17 17:00:00
34,The Muse,5,2023-01-18 08:00:00,2023-01-18 17:00:00,...-...,08:00,17:00,,,2023-01-18 08:00:00,2023-01-18 17:00:00
35,B4School Check,11,2023-01-18 08:30:00,2023-01-18 15:30:00,...-...,08:30,15:30,,,2023-01-18 08:30:00,2023-01-18 15:30:00
36,Clever little bees ,1,2023-01-18 08:30:00,2023-01-18 15:00:00,...-...,08:30,15:00,,,2023-01-18 08:30:00,2023-01-18 15:00:00
37,SEWN,11,2023-01-18 09:30:00,2023-01-18 15:30:00,...-...,09:30,15:30,,,2023-01-18 09:30:00,2023-01-18 15:30:00
38,Canterbury Somali association ,10a,2023-01-18 09:30:00,2023-01-18 12:30:00,...-...,09:30,12:30,,,2023-01-18 09:30:00,2023-01-18 12:30:00
39,Ngati Kahungunu whanau,10,2023-01-18 16:00:00,2023-01-18 21:00:00,...-...,16:00,21:00,,,2023-01-18 16:00:00,2023-01-18 21:00:00
40,PCCCT Board meeting,5,2023-01-18 18:00:00,2023-01-18 20:00:00,...-...,18:00,20:00,,,2023-01-18 18:00:00,2023-01-18 20:00:00
41,Narcotics Anonymous,1,2023-01-18 18:45:00,2023-01-18 20:00:00,18:34-20:21,18:45,20:06,2023-01-18 18:34:52,2023-01-18 20:21:17,2023-01-18 18:45:00,2023-01-18 20:06:17
42,The Muse,5,2023-01-19 08:00:00,2023-01-19 17:00:00,...-16:43,08:00,17:00,,2023-01-19 16:43:50,2023-01-19 08:00:00,2023-01-19 17:00:00
43,The Muse,11,2023-01-19 08:30:00,2023-01-19 17:00:00,...-...,08:30,17:00,,,2023-01-19 08:30:00,2023-01-19 17:00:00
44,Hub Tech,11,2023-01-19 09:00:00,2023-01-19 16:00:00,...-...,09:00,16:00,,,2023-01-19 09:00:00,2023-01-19 16:00:00
45,CRRRC -Foodbank,10a,2023-01-19 10:00:00,2023-01-19 12:00:00,...-...,10:00,12:00,,,2023-01-19 10:00:00,2023-01-19 12:00:00
46,Sit and be fit,10,2023-01-19 10:00:00,2023-01-19 11:30:00,...-...,10:00,11:30,,,2023-01-19 10:00:00,2023-01-19 11:30:00
47,Autistic Innovations ,1,2023-01-19 12:30:00,2023-01-19 14:30:00,...-...,12:30,14:30,,,2023-01-19 12:30:00,2023-01-19 14:30:00
48,Friends Edmonds Gardens ,1,2023-01-19 19:30:00,2023-01-19 21:00:00,19:09-20:33,19:24,21:00,2023-01-19 19:09:32,2023-01-19 20:33:01,2023-01-19 19:24:32,2023-01-19 21:00:00
49,The Muse,5,2023-01-20 08:00:00,2023-01-20 17:00:00,...-...,08:00,17:00,,,2023-01-20 08:00:00,2023-01-20 17:00:00
50,SEWN,11,2023-01-20 09:30:00,2023-01-20 15:30:00,...-...,09:30,15:30,,,2023-01-20 09:30:00,2023-01-20 15:30:00
51,Canterbury Somali association ,10a,2023-01-20 10:00:00,2023-01-20 12:00:00,...-...,10:00,12:00,,,2023-01-20 10:00:00,2023-01-20 12:00:00
52,Evelyn,10a,2023-01-20 12:00:00,2023-01-20 13:30:00,...-...,12:00,13:30,,,2023-01-20 12:00:00,2023-01-20 13:30:00
53,Auahatanga wellbeing,1,2023-01-20 12:15:00,2023-01-20 15:15:00,...-...,12:15,15:15,,,2023-01-20 12:15:00,2023-01-20 15:15:00
54,Phillipstown Market,nan,2023-01-21 14:00:00,2023-01-21 20:30:00,...-...,14:00,20:30,,,2023-01-21 14:00:00,2023-01-21 20:30:00
