,Activity,Location,Start,End,ActualTimes,ChargeableStart,ChargeableEnd,ActualStart,ActualEnd,Chargeable Start,Chargeable End
57,The Muse,5,2023-01-23 08:00:00,2023-01-23 17:00:00,...-16:50,08:00,17:00,,2023-01-23 16:50:53,08:00:00,17:00:00
58,The Muse,11,2023-01-23 08:30:00,2023-01-23 17:00:00,...-...,08:30,17:00,,,08:30:00,17:00:00
59,Better Breathing Exs.,10,2023-01-23 09:00:00,2023-01-23 12:00:00,...-...,09:00,12:00,,,09:00:00,12:00:00
60,SEWN,11,2023-01-23 09:30:00,2023-01-23 15:30:00,...-...,09:30,15:30,,,09:30:00,15:30:00
61,Canterbury Somali association ,10a,2023-01-23 10:00:00,2023-01-23 14:00:00,...-...,10:00,14:00,,,10:00:00,14:00:00
62,SEWN board meeting,10,2023-01-23 12:15:00,2023-01-23 14:15:00,...-...,12:15,14:15,,,12:15:00,14:15:00
63,PCCCT -Craft,10a,2023-01-23 14:00:00,2023-01-23 16:15:00,...-...,14:00,16:15,,,14:00:00,16:15:00
64,ICEcycles,7,2023-01-23 17:30:00,2023-01-23 20:30:00,...-...,17:30,20:30,,,17:30:00,20:30:00
65,Impulse Theatre,1,2023-01-23 18:30:00,2023-01-23 21:30:00,18:45-21:11,18:30,21:30,2023-01-23 18:45:05,2023-01-23 21:11:00,18:30:00,21:30:00
66,Book club,10,2023-01-23 19:00:00,2023-01-23 21:00:00,...-...,19:00,21:00,,,19:00:00,22:26:00
67,Te Reo Maori class,5,2023-01-23 19:15:00,2023-01-23 21:45:00,...-...,19:15,21:45,,,19:15:00,21:45:00
68,The Muse,5,2023-01-24 08:00:00,2023-01-24 17:00:00,...-16:41,08:00,17:00,,2023-01-24 16:41:10,08:00:00,17:00:00
69,The Muse,11,2023-01-24 08:30:00,2023-01-24 17:00:00,...-...,08:30,17:00,,,08:30:00,17:00:00
70,The Muse,5,2023-01-25 08:00:00,2023-01-25 17:00:00,...-...,08:00,17:00,2023-01-25 17:27:19,,08:00:00,17:00:00
71,The Muse,11,2023-01-25 08:30:00,2023-01-25 17:00:00,...-...,08:30,17:00,,,08:30:00,17:00:00
72,Hub Tech,11,2023-01-25 09:00:00,2023-01-25 16:00:00,...-...,09:00,16:00,,,09:00:00,16:00:00
73,Canterbury Somali association ,10a,2023-01-25 09:30:00,2023-01-25 12:30:00,...-...,09:30,12:30,,,09:30:00,12:30:00
74,SEWN,11,2023-01-25 09:30:00,2023-01-25 15:30:00,...-...,09:30,15:30,,,09:30:00,15:30:00
75,Ngati Kahungunu whanau,10,2023-01-25 16:00:00,2023-01-25 21:00:00,...-...,16:00,21:00,,,16:00:00,21:00:00
76,Narcotics Anonymous,1,2023-01-25 18:45:00,2023-01-25 20:00:00,18:27-20:25,18:42,20:10,2023-01-25 18:27:04,2023-01-25 20:25:07,18:27:00,20:45:00
77,The Muse,11,2023-01-26 08:30:00,2023-01-26 17:00:00,...-...,08:30,17:00,,,08:30:00,17:00:00
78,Hub Tech,11,2023-01-26 09:00:00,2023-01-26 16:00:00,...-...,09:00,16:00,,,09:00:00,16:00:00
79,Sit and be fit,10,2023-01-26 10:00:00,2023-01-26 11:30:00,...-...,10:00,11:30,,,10:00:00,11:30:00
80,CRRRC -Foodbank,10a,2023-01-26 10:00:00,2023-01-26 12:00:00,...-...,10:00,12:00,,,10:00:00,12:00:00
81,Autistic Innovations ,1,2023-01-26 12:30:00,2023-01-26 14:30:00,...-...,12:30,14:30,,,12:30:00,14:30:00
82,The Muse,5,2023-01-26 15:30:00,2023-01-26 17:00:00,...-...,15:30,17:00,,,15:30:00,17:00:00
83,Autism Family information group ,5,2023-01-26 18:15:00,2023-01-26 20:30:00,...-20:46,18:15,20:30,2023-01-26 21:27:10,2023-01-26 20:46:49,18:15:00,20:30:00
84,Charleston Residents Association,1,2023-01-26 19:30:00,2023-01-26 22:00:00,19:11-20:38,19:26,22:00,2023-01-26 19:11:02,2023-01-26 20:38:47,19:30:00,22:00:00
85,SEWN,11,2023-01-27 09:30:00,2023-01-27 15:30:00,...-...,09:30,15:30,,,09:30:00,15:30:00
86,Auahatanga wellbeing,1,2023-01-27 12:15:00,2023-01-27 15:15:00,...-...,12:15,15:15,,,12:15:00,15:15:00
87,Song Merchants,10,2023-01-27 18:30:00,2023-01-27 22:55:00,...-...,18:30,22:55,,,18:30:00,22:55:00
88,Vegan Market,10,2023-01-28 16:30:00,2023-01-28 20:30:00,...-...,16:30,20:30,,,15:54:00,21:45:00
89,Vegan Market,1,2023-01-28 16:30:00,2023-01-28 20:30:00,15:54-21:45,16:09,21:30,2023-01-28 15:54:58,2023-01-28 21:45:47,15:54:00,21:45:00
90,Vegan Market,10a,2023-01-28 16:30:00,2023-01-28 20:30:00,15:54-21:45,16:09,21:30,2023-01-28 15:54:50,2023-01-28 21:45:12,15:54:00,21:45:00
91,Harvest Church,1,2023-01-29 09:00:00,2023-01-29 13:00:00,09:14-12:55,09:00,13:00,2023-01-29 09:14:51,2023-01-29 12:55:52,09:00:00,13:00:00
92,CICF,10,2023-01-29 10:00:00,2023-01-29 13:00:00,...-...,10:00,13:00,,,10:00:00,13:00:00
93,SEWN,11,2023-01-30 09:30:00,2023-01-30 15:30:00,...-...,09:30,15:30,,,09:30:00,15:30:00
94,Better Breathing Exs.,5,2023-01-30 09:30:00,2023-01-30 12:00:00,...-...,09:30,12:00,,,09:30:00,12:00:00
95,Canterbury Somali association ,10a,2023-01-30 10:00:00,2023-01-30 14:00:00,...-...,10:00,14:00,,,10:00:00,14:00:00
96,PW - Kaumatua Program,5,2023-01-30 13:00:00,2023-01-30 15:30:00,...-...,13:00,15:30,,,13:00:00,15:30:00
97,ICEcycles,7,2023-01-30 17:30:00,2023-01-30 20:30:00,...-...,17:30,20:30,,,17:30:00,20:30:00
98,Impulse Theatre,1,2023-01-30 18:30:00,2023-01-30 21:30:00,...-...,18:30,21:30,,,18:30:00,21:30:00
99,Book club,10,2023-01-30 19:00:00,2023-01-30 21:00:00,...-...,19:00,21:00,,,19:00:00,21:00:00
100,Te Reo Maori class,5,2023-01-30 19:15:00,2023-01-30 21:45:00,...-...,19:15,21:45,,,19:15:00,21:45:00
