,Activity,Location,Start,End,ActualTimes,ChargeableStart,ChargeableEnd,testStart,testEnd,ChargeableStartDateTime,ChargeableEndDateTime
103,Hub Tech,11,2023-02-01 09:00:00,2023-02-01 16:00:00,...-...,09:00,16:00,,,2023-02-01 09:00:00,2023-02-01 16:00:00
104,Canterbury Somali association ,10a,2023-02-01 09:30:00,2023-02-01 12:30:00,...-...,09:30,12:30,,,2023-02-01 09:30:00,2023-02-01 12:30:00
105,SEWN,11,2023-02-01 09:30:00,2023-02-01 15:30:00,...-...,09:30,15:30,,,2023-02-01 09:30:00,2023-02-01 15:30:00
106,ELP,1,2023-02-01 10:00:00,2023-02-01 12:00:00,...-...,10:00,12:00,,,2023-02-01 10:00:00,2023-02-01 12:00:00
107,Deutsch in Christchurch ,1,2023-02-01 15:30:00,2023-02-01 18:30:00,...-...,15:30,18:30,,,2023-02-01 15:30:00,2023-02-01 18:30:00
108,Olympic Wrestling,5,2023-02-01 16:00:00,2023-02-01 19:30:00,...-...,16:00,19:30,,,2023-02-01 16:00:00,2023-02-01 19:30:00
109,Ngati Kahungunu whanau,10,2023-02-01 16:00:00,2023-02-01 21:00:00,...-...,16:00,21:00,,,2023-02-01 16:00:00,2023-02-01 21:00:00
110,Narcotics Anonymous,1,2023-02-01 18:45:00,2023-02-01 20:00:00,...-...,18:45,20:00,,,2023-02-01 18:45:00,2023-02-01 20:00:00
111,Hub Tech,11,2023-02-02 09:00:00,2023-02-02 16:00:00,...-...,09:00,16:00,,,2023-02-02 09:00:00,2023-02-02 16:00:00
112,Sit and be fit,10,2023-02-02 10:00:00,2023-02-02 11:30:00,...-...,10:00,11:30,,,2023-02-02 10:00:00,2023-02-02 11:30:00
113,CRRRC -Foodbank,10a,2023-02-02 10:00:00,2023-02-02 12:00:00,...-...,10:00,12:00,,,2023-02-02 10:00:00,2023-02-02 12:00:00
114,Autistic Innovations ,1,2023-02-02 12:30:00,2023-02-02 14:30:00,...-...,12:30,14:30,,,2023-02-02 12:30:00,2023-02-02 14:30:00
115,Te Reo Maori Class,10a,2023-02-02 18:30:00,2023-02-02 20:30:00,...-...,18:30,20:30,,,2023-02-02 18:30:00,2023-02-02 20:30:00
116,African Drumming,1,2023-02-02 19:00:00,2023-02-02 21:00:00,...-...,19:00,21:00,,,2023-02-02 19:00:00,2023-02-02 21:00:00
117,SEWN,11,2023-02-03 09:30:00,2023-02-03 15:30:00,...-...,09:30,15:30,,,2023-02-03 09:30:00,2023-02-03 15:30:00
118,Outreach Clinic,11,2023-02-03 10:00:00,2023-02-03 12:00:00,...-...,10:00,12:00,,,2023-02-03 10:00:00,2023-02-03 12:00:00
119,Auahatanga wellbeing,1,2023-02-03 12:15:00,2023-02-03 15:15:00,...-...,12:15,15:15,,,2023-02-03 12:15:00,2023-02-03 15:15:00
120,Harvest Church,1,2023-02-05 09:00:00,2023-02-05 13:00:00,...-...,09:00,13:00,,,2023-02-05 09:00:00,2023-02-05 13:00:00
121,CICF,10,2023-02-05 10:00:00,2023-02-05 13:00:00,...-...,10:00,13:00,,,2023-02-05 10:00:00,2023-02-05 13:00:00
122,Waitangi,nan,2023-02-06 13:00:00,2023-02-07 13:00:00,...-...,13:00,13:00,,,2023-02-06 13:00:00,2023-02-07 13:00:00
123,ICEcycles,7,2023-02-06 17:30:00,2023-02-06 20:30:00,...-...,17:30,20:30,,,2023-02-06 17:30:00,2023-02-06 20:30:00
124,Impulse Theatre,1,2023-02-06 18:30:00,2023-02-06 21:30:00,...-...,18:30,21:30,,,2023-02-06 18:30:00,2023-02-06 21:30:00
125,Book club,10,2023-02-06 19:00:00,2023-02-06 21:00:00,...-...,19:00,21:00,,,2023-02-06 19:00:00,2023-02-06 21:00:00
126,ELP,1,2023-02-07 09:30:00,2023-02-07 14:00:00,...-...,09:30,14:00,,,2023-02-07 09:30:00,2023-02-07 14:00:00
127,Safety Panel,10,2023-02-07 09:30:00,2023-02-07 11:00:00,...-...,09:30,11:00,,,2023-02-07 09:30:00,2023-02-07 11:00:00
128,PCCCT Leisure Club ,10,2023-02-07 12:30:00,2023-02-07 15:00:00,...-...,12:30,15:00,,,2023-02-07 12:30:00,2023-02-07 15:00:00
129,Te Reo Maori class,1,2023-02-07 18:00:00,2023-02-07 19:30:00,...-...,18:00,19:30,,,2023-02-07 18:00:00,2023-02-07 19:30:00
130,B4 School check,11,2023-02-08 08:30:00,2023-02-08 15:30:00,...-...,08:30,15:30,,,2023-02-08 08:30:00,2023-02-08 15:30:00
131,Te Puawaitanga ki Otautahi,5,2023-02-08 08:30:00,2023-02-08 16:30:00,...-...,08:30,16:30,,,2023-02-08 08:30:00,2023-02-08 16:30:00
132,SEWN,11,2023-02-08 09:30:00,2023-02-08 15:30:00,...-...,09:30,15:30,,,2023-02-08 09:30:00,2023-02-08 15:30:00
133,ELP,1,2023-02-08 10:00:00,2023-02-08 12:00:00,...-...,10:00,12:00,,,2023-02-08 10:00:00,2023-02-08 12:00:00
134,Deutsch in Christchurch ,1,2023-02-08 15:30:00,2023-02-08 18:30:00,...-...,15:30,18:30,,,2023-02-08 15:30:00,2023-02-08 18:30:00
135,Ngati Kahungunu whanau,10,2023-02-08 16:00:00,2023-02-08 21:00:00,...-...,16:00,21:00,,,2023-02-08 16:00:00,2023-02-08 21:00:00
136,Olympic Wrestling,5,2023-02-08 18:00:00,2023-02-08 20:00:00,...-...,18:00,20:00,,,2023-02-08 18:00:00,2023-02-08 20:00:00
137,Narcotics Anonymous,1,2023-02-08 18:45:00,2023-02-08 20:00:00,...-...,18:45,20:00,,,2023-02-08 18:45:00,2023-02-08 20:00:00
