,Activity,Location,Start,End,ChargeableStart,ChargeableEnd
1334,SEWN,11,2022-09-26 09:30:00,2022-09-26 15:30:00,2022-09-26 09:30:00,2022-09-26 15:30:00
1335,Better Breathing Exs.,5,2022-09-26 09:30:00,2022-09-26 12:00:00,2022-09-26 09:30:00,2022-09-26 12:00:00
1336,Canterbury Somali association ,10a,2022-09-26 10:00:00,2022-09-26 14:00:00,2022-09-26 10:00:00,2022-09-26 14:00:00
1337,Plunket -Toes and Giggles,1,2022-09-26 10:15:00,2022-09-26 12:45:00,2022-09-26 10:15:00,2022-09-26 12:45:00
1338,ICEcycles,7,2022-09-26 17:30:00,2022-09-26 20:30:00,2022-09-26 17:30:00,2022-09-26 20:30:00
1339,Impulse Theatre,1,2022-09-26 18:30:00,2022-09-26 21:30:00,2022-09-26 18:30:00,2022-09-26 21:41:19
1340,Incredible years,5,2022-09-27 08:30:00,2022-09-27 14:00:00,2022-09-27 08:30:00,2022-09-27 14:00:00
1341,Community Garden Association (CCGA function),1,2022-09-27 11:30:00,2022-09-27 15:00:00,2022-09-27 11:30:00,2022-09-27 15:00:00
1342,PCCCT Leisure Club ,10,2022-09-27 12:30:00,2022-09-27 15:00:00,2022-09-27 12:30:00,2022-09-27 15:00:00
1343,PCCCT Craft Evelyn,nan,2022-09-27 14:15:00,2022-09-27 16:15:00,2022-09-27 14:15:00,2022-09-27 16:15:00
1344,Cholmondeley,10a,2022-09-27 16:30:00,2022-09-27 18:30:00,2022-09-27 16:30:00,2022-09-27 18:30:00
1345,Cholmondeley,10,2022-09-27 16:30:00,2022-09-27 18:30:00,2022-09-27 16:30:00,2022-09-27 18:30:00
1346,Cholmondeley,bbq -outdoor,2022-09-27 16:30:00,2022-09-27 18:30:00,2022-09-27 16:30:00,2022-09-27 18:30:00
1347,Te Reo Maori - Alicia,1,2022-09-27 18:00:00,2022-09-27 19:30:00,2022-09-27 17:52:29,2022-09-27 21:12:12
1348,Hub Tech,11,2022-09-28 09:00:00,2022-09-28 16:00:00,2022-09-28 09:00:00,2022-09-28 16:00:00
1349,Canterbury Somali association ,10a,2022-09-28 09:30:00,2022-09-28 12:30:00,2022-09-28 09:30:00,2022-09-28 12:30:00
1350,SEWN,11,2022-09-28 09:30:00,2022-09-28 15:30:00,2022-09-28 09:30:00,2022-09-28 15:30:00
1351,Deutsch in Christchurch ,1,2022-09-28 15:30:00,2022-09-28 18:30:00,2022-09-28 15:30:00,2022-09-28 18:30:00
1352,Olympic Wrestling,5,2022-09-28 16:00:00,2022-09-28 19:30:00,2022-09-28 16:00:00,2022-09-28 19:30:00
1353,Ngati Kahungunu whanau,10,2022-09-28 16:00:00,2022-09-28 21:00:00,2022-09-28 16:00:00,2022-09-28 21:00:00
1354,Narcotics Anonymous,1,2022-09-28 18:30:00,2022-09-28 20:00:00,2022-09-28 18:30:00,2022-09-28 20:21:21
1355,Hub Tech,11,2022-09-29 09:00:00,2022-09-29 16:00:00,2022-09-29 09:00:00,2022-09-29 16:00:00
1356,Te Reo Maori - Alicia,1,2022-09-29 09:30:00,2022-09-29 11:00:00,2022-09-29 09:30:00,2022-09-29 11:00:00
1357,PCCCT Sit and be fit,10,2022-09-29 10:00:00,2022-09-29 11:30:00,2022-09-29 10:00:00,2022-09-29 11:30:00
1358,CRRRC -Foodbank,10a,2022-09-29 10:00:00,2022-09-29 12:00:00,2022-09-29 10:00:00,2022-09-29 12:00:00
1359,Autistic Innovations ,1,2022-09-29 12:30:00,2022-09-29 14:30:00,2022-09-29 12:30:00,2022-09-29 14:30:00
1360,Pacific peoples trust (Moana Home Ownership),5,2022-09-29 17:30:00,2022-09-29 19:30:00,2022-09-29 17:30:00,2022-09-29 20:27:19
1361,Plunket-pregnancy and parenting classes,10,2022-09-29 18:00:00,2022-09-29 20:00:00,2022-09-29 18:00:00,2022-09-29 20:00:00
1362,Deutsch in Christchurch ,10a,2022-09-29 18:30:00,2022-09-29 20:00:00,2022-09-29 18:09:45,2022-09-29 20:05:39
1363,CRRRC - Driving Licence Class,10a,2022-09-30 09:00:00,2022-09-30 10:30:00,2022-09-30 09:00:00,2022-09-30 10:30:00
1364,SEWN,11,2022-09-30 09:30:00,2022-09-30 15:30:00,2022-09-30 09:30:00,2022-09-30 15:30:00
1365,Birthright - Connect 'n learn parents group ,10,2022-09-30 10:00:00,2022-09-30 12:00:00,2022-09-30 10:00:00,2022-09-30 12:00:00
1366,Auahatanga wellbeing,1,2022-09-30 12:30:00,2022-09-30 15:30:00,2022-09-30 12:30:00,2022-09-30 15:30:00
1367,Thriving Madly,10a,2022-10-01 08:00:00,2022-10-01 17:00:00,2022-10-01 08:00:00,2022-10-01 17:00:00
1368,Thriving Madly,10,2022-10-01 08:00:00,2022-10-01 17:00:00,2022-10-01 08:00:00,2022-10-01 17:00:00
1369,NZSL for Whanau ,1,2022-10-01 09:45:00,2022-10-01 12:00:00,2022-10-01 09:45:00,2022-10-01 12:00:00
